year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
2006,PU,17218.000,3947.000,7381.000,5890.000,65299325.000,3563009.000
2006,SE,41824.000,11827.000,27452.000,2545.000,292392945.000,10057373.000
2006,SJ,,,,,,
2006,UL,21556.000,1160.000,2299.000,18097.000,62869561.000,1076340.000
2006,IC,18696.000,2762.000,5205.000,10729.000,59522631.000,2606698.000
2006,JN,19502.000,1856.000,4338.000,13308.000,57944653.000,1829648.000
2006,JB,14408.000,1886.000,4425.000,8097.000,36053645.000,1801414.000
2006,JJ,2899.000,522.000,1470.000,907.000,10740812.000,543702.000
2006,CN,25004.000,2001.000,5955.000,17048.000,72238019.000,1942739.000
2006,CB,15351.000,1528.000,4213.000,9610.000,36176510.000,1486522.000
2007,GW,13569.000,1620.000,6149.000,5800.000,32853097.000,1476484.000
2007,GG,78108.000,12425.000,28588.000,37095.000,255550481.000,11056824.000
2007,GN,26789.000,3353.000,7807.000,15629.000,85284496.000,3136517.000
2007,GB,36250.000,2667.000,7596.000,25987.000,83621419.000,2643478.000
2007,GJ,6804.000,1576.000,2988.000,2240.000,27392264.000,1456365.000
2007,DG,12927.000,2727.000,5240.000,4960.000,42074727.000,2483535.000
2007,DJ,7824.000,1603.000,4022.000,2199.000,29906786.000,1493931.000
2007,PU,17905.000,4024.000,7654.000,6227.000,68944140.000,3538031.000
2007,SE,42974.000,12043.000,28495.000,2436.000,309525926.000,10068563.000
2007,SJ,,,,,,
2007,UL,22739.000,1206.000,2410.000,19123.000,65950587.000,1079299.000
2007,IC,19446.000,2876.000,5601.000,10969.000,64675503.000,2642899.000
2007,JN,20341.000,1895.000,4597.000,13849.000,61058914.000,1805854.000
2007,JB,15166.000,1939.000,4636.000,8591.000,37890302.000,1791609.000
2007,JJ,3039.000,535.000,1540.000,964.000,11335159.000,543134.000
2007,CN,28051.000,2087.000,6368.000,19596.000,76413497.000,1972847.000
2007,CB,16679.000,1600.000,4490.000,10589.000,38575637.000,1494268.000
2008,GW,13895.000,1675.000,6404.000,5816.000,33674653.000,1480389.000
2008,GG,81848.000,12979.000,30217.000,38652.000,268221081.000,11266554.000
2008,GN,28074.000,3525.000,8318.000,16231.000,89539592.000,3166472.000
2008,GB,37164.000,2767.000,7985.000,26412.000,86102708.000,2639236.000
2008,GJ,7046.000,1639.000,3175.000,2232.000,27791206.000,1465274.000
2008,DG,13266.000,2841.000,5445.000,4980.000,42614503.000,2480984.000
2008,DJ,8088.000,1656.000,4205.000,2227.000,30273625.000,1501152.000
2008,PU,18709.000,4123.000,7952.000,6634.000,70785024.000,3514331.000
2008,SE,44096.000,12318.000,29499.000,2279.000,317128072.000,10111880.000
2008,SJ,,,,,,
2008,UL,24132.000,1263.000,2501.000,20368.000,64401338.000,1091665.000
2008,IC,19915.000,3023.000,5945.000,10947.000,64033773.000,2689010.000
2008,JN,21869.000,1962.000,4850.000,15057.000,61841218.000,1794149.000
2008,JB,15927.000,2015.000,4855.000,9057.000,39294329.000,1788455.000
2008,JJ,3184.000,551.000,1635.000,998.000,11450325.000,543894.000
2008,CN,30428.000,2198.000,6631.000,21599.000,80523469.000,2012542.000
2008,CB,17376.000,1662.000,4762.000,10952.000,37908674.000,1508721.000
2009,GW,13992.116,1725.281,6555.502,5711.333,33976932.000,1485148.000
2009,GG,83856.187,13489.458,31365.034,39001.695,273835863.000,11413244.000
2009,GN,28393.041,3624.001,8533.030,16236.010,92664822.000,3192481.000
2009,GB,37983.312,2842.913,8090.218,27050.181,85724356.000,2634167.000
2009,GJ,7169.715,1657.801,3277.108,2234.806,27180608.000,1479146.000
2009,DG,13133.729,2861.856,5465.213,4806.660,41429265.000,2481714.000
2009,DJ,8224.740,1679.159,4316.246,2229.335,31068315.000,1508164.000
2009,PU,18689.438,4128.794,8072.799,6487.845,68336815.000,3497197.000
2009,SE,44984.458,12536.961,30234.973,2212.524,321873162.000,10138867.000
2009,SJ,,,,,,
2009,UL,24682.548,1279.602,3076.067,20326.879,63392764.000,1098027.000
2009,IC,20032.121,3128.560,6292.333,10611.228,63153061.000,2699716.000
2009,JN,23589.469,2018.101,5147.346,16424.022,61529089.000,1785309.000
