date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy,dailydust_1,dailydust_2,dailydust_3
2020-03-16,11680,강남구,동남권,878727.563 ,846197.012 ,20830.395 ,11700.156 ,1106902.790 ,678270.704 ,1062137.785 ,747720.261 ,657945.310 ,203667.444 ,122246.494 ,332031.372 ,14 ,0 ,0 ,0 ,4 ,13 ,0 ,42 ,0 ,19 ,23 ,14 
2020-03-17,11680,강남구,동남권,887328.725 ,854828.372 ,21146.907 ,11353.446 ,1112800.803 ,692765.874 ,1067357.266 ,758736.910 ,657817.900 ,203008.843 ,123233.989 ,331575.068 ,24 ,0 ,0 ,0 ,7 ,44 ,0 ,66 ,0 ,14 ,19 ,23 
2020-03-18,11680,강남구,동남권,889291.714 ,855021.780 ,21368.227 ,12901.707 ,1109357.810 ,698715.676 ,1065557.004 ,763387.935 ,660708.428 ,202958.648 ,124211.102 ,333538.678 ,35 ,1 ,1 ,0 ,10 ,100 ,0 ,46 ,0 ,24 ,14 ,19 
2020-03-19,11680,강남구,동남권,887006.803 ,853726.802 ,21278.098 ,12001.903 ,1107211.503 ,697867.352 ,1062216.325 ,761857.144 ,645728.790 ,197353.838 ,121259.153 ,327115.800 ,24 ,0 ,0 ,0 ,9 ,83 ,0 ,49 ,0 ,35 ,24 ,14 
2020-03-20,11680,강남구,동남권,882110.195 ,851396.992 ,21426.090 ,9287.113 ,1096267.313 ,696464.341 ,1052560.041 ,760360.306 ,648403.172 ,197544.122 ,123672.998 ,327186.053 ,10 ,0 ,0 ,0 ,9 ,77 ,0 ,40 ,0 ,24 ,35 ,24 
2020-03-21,11680,강남구,동남권,749146.561 ,722221.574 ,17804.019 ,9120.968 ,824236.967 ,682463.217 ,802539.266 ,711008.915 ,375581.024 ,100609.067 ,111721.705 ,163250.252 ,18 ,0 ,0 ,0 ,13 ,164 ,0 ,57 ,1 ,10 ,24 ,35 
2020-03-22,11680,강남구,동남권,700948.008 ,675940.777 ,15724.353 ,9282.878 ,734934.948 ,669521.935 ,723635.571 ,684742.606 ,290112.669 ,65969.822 ,106934.591 ,117208.257 ,18 ,0 ,0 ,0 ,11 ,121 ,0 ,38 ,1 ,18 ,10 ,24 
2020-03-23,11680,강남구,동남권,880329.117 ,850409.878 ,20654.885 ,9264.354 ,1114754.543 ,673907.185 ,1068782.191 ,745719.779 ,668066.592 ,207853.033 ,124754.421 ,335459.138 ,29 ,0 ,0 ,0 ,11 ,112 ,0 ,38 ,0 ,18 ,18 ,10 
2020-03-24,11680,강남구,동남권,886832.447 ,856550.242 ,21077.397 ,9204.809 ,1112627.389 ,690901.512 ,1068636.829 ,756972.174 ,666097.878 ,204996.480 ,124841.053 ,336260.345 ,38 ,1 ,1 ,0 ,11 ,130 ,0 ,35 ,0 ,29 ,18 ,18 
2020-03-25,11680,강남구,동남권,886446.696 ,855353.118 ,21158.839 ,9934.739 ,1110625.057 ,694161.956 ,1063971.175 ,759643.496 ,661575.421 ,204168.393 ,122962.383 ,334444.646 ,34 ,0 ,0 ,0 ,13 ,156 ,0 ,34 ,0 ,38 ,29 ,18 
2020-03-26,11680,강남구,동남권,890236.177 ,858010.734 ,21243.465 ,10981.978 ,1115460.130 ,695668.030 ,1069467.803 ,762213.587 ,660916.146 ,205204.281 ,122762.803 ,332949.063 ,34 ,0 ,0 ,0 ,15 ,219 ,2 ,54 ,0 ,34 ,38 ,29 
2020-03-27,11680,강남구,동남권,888564.777 ,855765.353 ,21108.779 ,11690.645 ,1108133.504 ,698078.577 ,1064121.586 ,763167.056 ,653573.134 ,199405.588 ,124297.832 ,329869.713 ,25 ,0 ,0 ,0 ,12 ,142 ,2 ,56 ,0 ,34 ,34 ,38 
2020-03-28,11680,강남구,동남권,749756.145 ,720906.325 ,17749.927 ,11099.894 ,828310.796 ,680998.016 ,804393.455 ,710729.495 ,376953.126 ,100541.873 ,112181.554 ,164229.699 ,9 ,0 ,0 ,0 ,8 ,59 ,0 ,18 ,1 ,25 ,34 ,34 
